createDate,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7
2016-10-10T08:00:00.000Z,0,,,,,,
2016-10-10T09:00:00.000Z,0,22.09,42.10 ,255.00 ,0.00 ,21.90 ,255.00 
2016-10-10T10:00:00.000Z,0,22,41.10 ,255.00 ,0.00 ,21.80 ,255.00 
2016-10-10T11:00:00.000Z,0,21.77,40.30 ,255.00 ,0.00 ,21.50 ,255.00 
2016-10-10T12:00:00.000Z,0,21.45,41.50 ,255.00 ,0.00 ,21.40 ,255.00 
2016-10-10T13:00:00.000Z,0,21.32,42.10 ,255.00 ,0.00 ,21.30 ,255.00 
2016-10-10T14:00:00.000Z,0,21.23,42.60 ,255.00 ,0.00 ,21.20 ,255.00 
2016-10-10T15:00:00.000Z,0,21.09,42.80 ,255.00 ,0.00 ,21.20 ,255.00 
2016-10-10T16:00:00.000Z,0,21,43.40 ,255.00 ,0.00 ,21.20 ,255.00 
2016-10-10T17:00:00.000Z,0,20.91,44.30 ,255.00 ,0.00 ,21.10 ,255.00 
2016-10-10T18:00:00.000Z,0,20.77,44.80 ,255.00 ,0.00 ,20.90 ,255.00 
2016-10-10T19:00:00.000Z,0,20.77,45.40 ,255.00 ,0.00 ,20.90 ,255.00 
2016-10-10T20:00:00.000Z,0,20.68,45.90 ,255.00 ,0.00 ,20.90 ,255.00 
2016-10-10T21:00:00.000Z,0,20.68,46.60 ,255.00 ,0.00 ,20.80 ,255.00 
2016-10-10T22:00:00.000Z,0,20.55,47.00 ,255.00 ,0.00 ,20.80 ,255.00 
2016-10-10T23:00:00.000Z,0,20.55,47.20 ,255.00 ,0.00 ,20.70 ,255.00 
2016-10-11T00:00:00.000Z,0,20.55,47.70 ,255.00 ,0.00 ,20.70 ,255.00 
2016-10-18T07:00:00.000Z,0,25.09,87.30 ,255.00 ,20.00 ,26.40 ,255.00 
2016-10-18T08:00:00.000Z,1,25.23,89.10 ,255.00 ,20.00 ,26.10 ,255.00 
2016-10-18T09:00:00.000Z,3.5,25.09,87.60 ,255.00 ,20.00 ,25.70 ,255.00 
2016-10-18T10:00:00.000Z,2.5,23.23,94.50 ,255.00 ,20.00 ,24.50 ,133.00 
2016-10-18T11:00:00.000Z,7,22.68,98.60 ,255.00 ,20.00 ,24.50 ,153.00 
2016-10-18T12:00:00.000Z,3,22.32,99.30 ,255.00 ,20.00 ,24.20 ,159.00 
2016-10-18T13:00:00.000Z,4.5,22.23,100.00 ,255.00 ,20.00 ,24.20 ,153.00 
2016-10-18T14:00:00.000Z,5.5,22.23,100.00 ,255.00 ,20.00 ,24.00 ,172.00 
2016-10-18T15:00:00.000Z,6.5,22.09,100.00 ,255.00 ,20.00 ,23.90 ,172.00 
2016-10-18T16:00:00.000Z,0.5,22.09,100.00 ,255.00 ,20.00 ,23.80 ,172.00 
2016-10-18T17:00:00.000Z,0.5,22.09,100.00 ,255.00 ,20.00 ,23.80 ,172.00 
2016-10-18T18:00:00.000Z,4,22.09,100.00 ,255.00 ,20.00 ,23.80 ,153.00 
2016-10-18T19:00:00.000Z,4,22.23,100.00 ,255.00 ,20.00 ,23.80 ,172.00 
2016-10-18T20:00:00.000Z,0,22.23,100.00 ,255.00 ,20.00 ,23.70 ,172.00 
